mes_pagamento;municipio;valor_pago;tipo_auxilio;quantidade_def
2025-02-25;ÁGUAS FORMOSAS;2488,15;FUNERAL ;1
2025-02-25;ALMENARA ;1976,8;FUNERAL ;1
2025-02-25;ALVINÓPOLIS;2513,08;FUNERAL ;1
2025-02-25;ASTOLFO DUTRA ;500,0;FUNERAL ;1
2025-02-25;BELA VISTA DE MINAS;1924,29;FUNERAL ;1
2025-02-25;BELO HORIZONTE;1412,0;FUNERAL ;1
2025-02-25;BELO HORIZONTE;2131,34;FUNERAL ;1
2025-02-25;BELO HORIZONTE;2048,26;FUNERAL ;1
2025-02-25;BELO HORIZONTE;1466,58;FUNERAL ;1
2025-02-25;BELO HORIZONTE;750,0;FUNERAL ;1
2025-02-25;BELO HORIZONTE;1412,0;FUNERAL ;1
2025-02-25;BELO HORIZONTE;2598,38;FUNERAL ;1
2025-02-25;BERTÓPOLIS;1868,68;FUNERAL ;1
2025-02-25;BOM DESPACHO;1412,0;FUNERAL ;1
2025-02-25;CONSELHEIRO LAFAIETE ;1412,0;FUNERAL ;1
2025-02-25;CORINTO;300,0;FUNERAL ;1
2025-02-25;DESTERRO DE ENTRE RIOS;1412,0;FUNERAL ;1
2025-02-25;DIAMANTINA ;1412,0;FUNERAL ;1
2025-02-25;DIVERSOS MUNICÍPIOS;1059,0;NATALIDADE;1
2025-02-25;DIVERSOS MUNICÍPIOS;1059,0;NATALIDADE;1
2025-02-25;DIVERSOS MUNICÍPIOS;990,0;NATALIDADE;1
2025-02-25;DIVERSOS MUNICÍPIOS;1138,5;NATALIDADE;1
2025-02-25;DIVERSOS MUNICÍPIOS;1059,0;NATALIDADE;1
2025-02-25;DIVINÓPOLIS ;1579,35;FUNERAL ;1
2025-02-25;DIVINÓPOLIS ;1743,31;FUNERAL ;1
2025-02-25;DIVINÓPOLIS ;1412,0;FUNERAL ;1
2025-02-25;DIVINÓPOLIS ;1412,0;FUNERAL ;1
2025-02-25;FORMIGA ;1625,7;FUNERAL ;1
2025-02-25;IBIRITÉ;1466,58;FUNERAL ;1
2025-02-25;IPATINGA ;1059,0;NATALIDADE;1
2025-02-25;ITAJUBA;1486,82;FUNERAL ;1
2025-02-25;ITAPECERICA;1412,0;FUNERAL ;1
2025-02-25;ITAÚNA ;505,0;FUNERAL ;1
2025-02-25;JEQUITINHONHA;2400,0;FUNERAL ;1
2025-02-25;JUIZ DE FORA ;1620,0;FUNERAL ;1
2025-02-25;JUIZ DE FORA ;1694,4;FUNERAL ;1
2025-02-25;JUIZ DE FORA ;1000,0;FUNERAL ;1
2025-02-25;MALACACHETA;1924,29;FUNERAL ;1
2025-02-25;MONTE CARMELO ;2485,12;FUNERAL ;1
2025-02-25;MONTE SANTO DE MINAS ;1934,47;FUNERAL ;1
2025-02-25;MURIAÉ;1412,0;FUNERAL ;1
2025-02-25;MURIAÉ;2273,5;FUNERAL ;1
2025-02-25;NOVA SERRANA;1547,35;FUNERAL ;1
2025-02-25;OLIVEIRA;2130,1;FUNERAL ;1
2025-02-25;PERDÕES;1831,57;FUNERAL ;1
2025-02-25;PIAU ;1800,3;FUNERAL ;1
2025-02-25;PONTE NOVA;2541,6;FUNERAL ;1
2025-02-25;PONTE NOVA;1320,0;FUNERAL ;1
2025-02-25;RESENDE COSTA;1540,83;FUNERAL ;1
2025-02-25;RESPLENDOR;1412,0;FUNERAL ;1
2025-02-25;RIO ESPERA;1800,0;FUNERAL ;1
2025-02-25;SABARÁ;2378,54;FUNERAL ;1
2025-02-25;SANTA LUZIA ;1412,0;FUNERAL ;1
2025-02-25;SÃO DOMINGOS DO PRATA;1786,89;FUNERAL ;1
2025-02-25;SÃO JOÃO DEL REI ;1986,37;FUNERAL ;1
2025-02-25;SÃO JOÃO DO PARAÍSO ;1466,58;FUNERAL ;1
2025-02-25;SÃO JOSÉ DO JACURI ;1412,0;FUNERAL ;1
2025-02-25;TEÓFILO OTONI ;2070,0;FUNERAL ;1
2025-02-25;TEÓFILO OTONI ;1059,0;NATALIDADE;1
2025-02-25;TIMOTEO ;1477,36;FUNERAL ;1
2025-02-25;TRÊS PONTAS;1412,0;FUNERAL ;1
2025-02-25;UBERABA;800,0;FUNERAL ;1
2025-02-25;UBERLÂNDIA;1412,0;FUNERAL ;1
2025-02-25;VARGINHA;2485,12;FUNERAL ;1
2025-02-25;VIÇOSA ;1412,0;FUNERAL ;1
2025-03-25;UBÁ;1412,0;FUNERAL ;1
2025-03-25;TEÓFILO OTONI;1412,0;FUNERAL ;1
2025-03-25;BELO HORIZONTE;550,0;FUNERAL ;1
2025-03-25;ARAGUARI;2212,79;FUNERAL ;1
2025-03-25;BELO HORIZONTE;1412,0;FUNERAL ;1
2025-03-25;MONTES CLAROS;1412,0;FUNERAL ;1
2025-03-25;MONTES CLAROS;1786,89;FUNERAL ;1
2025-03-25;MURIAÉ;800,0;FUNERAL ;1
2025-03-25;ESTIVA;1579,35;FUNERAL ;1
2025-03-25;RESENDE COSTA;1412,0;FUNERAL ;1
2025-03-25;DIVERSOS MUNICÍPIOS - ESTADUAL;1881,79;FUNERAL ;1
2025-03-25;MONTES CLAROS;1800,3;FUNERAL ;1
2025-03-25;NOVA LIMA;2003,76;FUNERAL ;1
2025-03-25;NEPOMUCENO;1998,76;FUNERAL ;1
2025-03-25;CONTAGEM;1518,0;FUNERAL ;1
2025-03-25;UBERABA;1852,72;FUNERAL ;1
